episode,timesteps,episode_reward,episode_length,success,collision,out_of_bounds
589,8368,-22.321724,12,0,0,1
590,8384,-20.836569,4,0,0,1
591,8416,-22.914221,20,0,0,1
592,8416,-20.494297,6,0,0,1
593,8416,-22.117148,10,0,0,1
594,8432,-18.65727,6,0,0,1
595,8456,-21.863514,5,0,0,1
596,8480,-19.789979,8,0,0,1
597,8488,-22.680496,16,0,0,1
598,8496,-21.361515,5,0,0,1
599,8496,-23.228522,35,0,0,1
600,8520,-21.463263,38,0,0,1
601,8528,-18.698527,24,0,0,1
602,8528,-22.425426,6,0,0,1
603,8568,-22.898442,19,0,0,1
604,8576,-22.628342,10,0,0,1
605,8616,-20.175461,6,0,0,1
606,8664,-23.325079,29,0,0,1
607,8672,-23.600098,22,0,0,1
608,8672,-22.549696,18,0,0,1
609,8680,-22.625819,19,0,0,1
610,8688,-22.39758,14,0,0,1
611,8728,-20.594192,8,0,0,1
612,8728,-22.736499,14,0,0,1
613,8752,-23.177463,33,0,0,1
614,8768,-16.385173,11,0,0,1
615,8784,-22.44615,14,0,0,1
616,8792,-22.323327,15,0,0,1
617,8800,-22.519024,9,0,0,1
618,8840,-18.647027,5,0,0,1
619,8848,-22.210856,7,0,0,1
620,8864,-23.127836,22,0,0,1
621,8888,-17.236124,17,0,0,1
622,8928,-22.250075,11,0,0,1
623,8928,-22.005269,18,0,0,1
624,8936,-22.895126,21,0,0,1
625,8992,-23.023577,18,0,0,1
626,9008,-20.224013,10,0,0,1
627,9032,-22.949267,13,0,0,1
628,9040,-22.134402,6,0,0,1
629,9056,-18.432569,15,0,0,1
630,9096,-19.473415,5,0,0,1
631,9144,-22.055229,17,0,0,1
632,9144,-18.483995,14,0,0,1
633,9144,-23.466961,32,0,0,1
634,9200,-17.867064,59,0,0,1
635,9216,-22.606493,15,0,0,1
636,9216,-22.111004,9,0,0,1
637,9248,-28.047514,91,0,0,1
638,9248,-19.827808,4,0,0,1
639,9256,-22.446366,7,0,0,1
640,9264,-22.488836,15,0,0,1
641,9328,-24.195117,58,0,0,1
642,9336,-22.304028,11,0,0,1
643,9416,-18.86206,11,0,0,1
644,9416,-22.07921,10,0,0,1
645,9432,-23.294897,27,0,0,1
646,9448,-21.657877,51,0,0,1
647,9456,-22.998867,25,0,0,1
648,9496,-22.371486,10,0,0,1
649,9520,-19.488345,34,0,1,0
650,9520,-20.871539,32,0,0,1
651,9528,-19.245555,10,0,0,1
652,9528,-20.954038,12,0,0,1
653,9568,-19.472733,9,0,0,1
654,9576,-22.168664,6,0,0,1
655,9584,-19.742767,8,0,0,1
656,9592,-20.136611,22,0,0,1
657,9624,-22.401047,6,0,0,1
658,9624,-17.448653,13,0,0,1
659,9680,-22.858886,12,0,0,1
660,9760,-23.0754,24,0,0,1
661,9776,-24.257875,79,0,0,1
662,9808,-21.979265,16,0,0,1
663,9840,-18.363076,8,0,0,1
664,9856,-22.139635,12,0,0,1
665,9864,-24.131873,51,0,0,1
666,9864,-23.517465,34,0,0,1
667,9880,-22.094402,5,0,0,1
668,9896,-23.242579,34,0,0,1
669,9912,-23.163887,36,0,0,1
670,9952,-22.786392,11,0,0,1
671,9952,-17.44351,7,0,0,1
672,9968,-23.342768,55,0,0,1
673,9984,-21.816837,16,0,0,1
674,10016,-19.778049,19,0,0,1
675,10024,-17.495251,14,0,0,1
676,10032,-16.618926,8,0,0,1
677,10040,-18.21052,7,0,0,1
678,10072,-20.872845,15,0,0,1
679,10072,-23.250857,33,0,0,1
680,10120,-22.959978,11,0,0,1
681,10128,-21.45103,7,0,0,1
682,10136,-18.250999,8,0,0,1
683,10184,-20.190524,20,0,0,1
684,10208,-22.795274,10,0,0,1
685,10232,-19.86139,12,0,0,1
686,10248,-23.310954,26,0,0,1
687,10256,-22.147589,6,0,0,1
688,10272,-21.806069,40,0,0,1
689,10296,-19.897019,5,0,0,1
690,10296,-25.289319,22,0,0,1
691,10320,-26.665841,55,0,0,1
692,10344,-18.721694,6,0,0,1
693,10360,-22.034686,11,0,0,1
694,10400,-22.540329,21,0,0,1
695,10408,-22.606831,11,0,0,1
696,10480,-19.403744,9,0,0,1
697,10496,-19.234556,19,0,0,1
698,10504,-20.982954,40,0,0,1
699,10552,-20.56918,7,0,0,1
700,10576,-22.229711,3,0,0,1
701,10608,-23.025678,16,0,0,1
702,10640,-22.488439,8,0,0,1
703,10680,-24.488998,83,0,0,1
704,10688,-23.672468,49,0,0,1
705,10704,-20.605086,12,0,0,1
706,10712,-20.542668,26,0,0,1
707,10728,-23.930307,41,0,0,1
708,10736,-24.603699,47,0,0,1
709,10760,-22.29917,6,0,0,1
710,10768,-22.318543,8,0,0,1
711,10792,-22.519672,13,0,0,1
712,10808,-23.139545,21,0,0,1
713,10864,-22.378178,7,0,0,1
714,10880,-23.028607,18,0,0,1
715,10952,-23.133178,23,0,0,1
716,10952,-22.714699,24,0,0,1
717,10960,-22.146169,10,0,0,1
718,10960,-20.016404,12,0,0,1
719,11008,-18.730421,41,0,0,1
720,11032,-20.724401,9,0,0,1
721,11088,-22.55264,17,0,0,1
722,11120,-22.601556,11,0,0,1
723,11136,-22.468235,23,0,0,1
724,11168,-20.510625,55,0,0,1
725,11184,-22.655985,6,0,0,1
726,11240,-18.754837,7,0,0,1
727,11272,-20.012329,13,0,0,1
728,11328,-21.779262,7,0,0,1
729,11360,-23.227512,30,0,0,1
730,11392,-22.90662,19,0,0,1
731,11424,-17.270141,52,0,1,0
732,11424,-19.653723,58,0,0,1
733,11488,-22.203858,8,0,0,1
734,11504,-19.542266,14,0,0,1
